거래날짜,상품명,판매량,판매액,수수료율
2024-01-01,노트북,5,5000000,2.5
2024-01-02,마우스,20,500000,3.0
2024-01-03,키보드,15,1500000,2.8
2024-01-04,노트북,3,3000000,2.5
2024-01-05,모니터,8,4000000,2.2
2024-01-06,마우스,25,625000,3.0
2024-01-07,헤드폰,12,1200000,3.5
2024-01-08,노트북,4,4000000,2.5
2024-01-09,USB,50,250000,5.0
2024-01-10,마우스,18,450000,3.0
2024-01-11,키보드,10,1000000,2.8
2024-01-12,모니터,6,3000000,2.2
2024-01-13,헤드폰,14,1400000,3.5
2024-01-14,노트북,2,2000000,2.5
2024-01-15,USB,45,225000,5.0
2024-01-16,마우스,22,550000,3.0
2024-01-17,모니터,7,3500000,2.2
2024-01-18,키보드,12,1200000,2.8
2024-01-19,헤드폰,10,1000000,3.5
2024-01-20,노트북,6,6000000,2.5
2024-01-21,USB,55,275000,5.0
